File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTree(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateColorPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateConstantColorPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDiffuseMapPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDiffuseMapXColorPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDiffuseMapXDiffuseColorPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateAddTwoChannelPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateBoxBlurPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateScreenQuadVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateScreenQuadBlurTexCoordVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateScreenDepthQuadVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateAmbientLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpotLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePointLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSimpleLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDeferredAmbientLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDeferredDirectionalLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDeferredSpotLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateDeferredPointLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGPassPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSimplePassPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostAdaptLuminancePS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostAverageLuminancePS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostBrightPassPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostComputeLuminancePS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostGetLuminancePS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostToneMappingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostDOFPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreatePostSSAOPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateProxyVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateProxyPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateShadowMapPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateShadowMap_AlphaTestPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateZPass_VelocityPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateZPass_Velocity_AlphaTestPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryDiffuseVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryLightmapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryLightingVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometryShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateGeometrySimpleLightingVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkinningModelVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkinningModelZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkinningModelGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkinningModelShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkinningModelSimpleLightingVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3DClusterVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3DClusterZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3DClusterGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3DClusterGPassPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSprite3DClusterShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpriteGrassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpriteGrassZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpriteGrassGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpriteGrassGPassPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpriteGrassShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainSimplePS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainGPassPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainSimpleLightingVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTerrainSimpleLightingPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkyDomeVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkyDomePS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSkyLightPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeBranchVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeBranchZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeBranchGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeBranchShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeBranchSimpleLightingVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeLeafVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeLeafZPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeLeafGPassVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeLeafShadowMapVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateSpeedTreeLeafSimpleLightingVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTextureAnimationPreviewVS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CreateTextureAnimationPreviewPS(CEngine* e),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,GetEnumStr(PLAYMODE e),16,15,10,5,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,GetEnumStr(TRANSPARENTTYPE e),16,15,10,5,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,GetEnumStr(RESOURCETYPE e),80,78,52,26,2,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,"CEngine::GetFileNameFromPath(LYNXCHAR* name, const LYNXCHAR* path)",12,11,8,2,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,"CEngine::GetFileNameFromPathAnsi(char* name, const char* path)",12,11,8,2,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::InitMembers(void),14,13,13,0,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::CEngine(void),2,2,2,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::CEngine(GameFramework::CKernel* lpk),3,3,3,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::~CEngine(void),53,31,25,3,6,0,16,56,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::GetMajorVersion(),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::GetMinorVersion(),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::GetBuildVersion(),1,1,1,0,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::CreateResource(RESOURCETYPE type),4,2,2,1,0,0,2,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::DestroyResource(CResourcePtr& lpr),3,2,2,1,0,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::DestroyResource(const CString& name),3,2,2,1,0,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::FindResource(const CString& name),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::CreateContainer(CContainer::TYPE type),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::DestroyContainer(CContainerPtr& lpc),3,2,2,1,0,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::DestroyContainer(const CString& name),3,2,2,1,0,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::CreateShaderClass(const CAnsiString& type),9,8,6,2,1,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::DestroyShaderClass(GraphicsSystem::CShaderClassPtr& lps),3,2,2,1,0,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::DestroyShaderClass(const CAnsiString& name),3,2,2,1,0,0,1,3,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::FindShaderClass(const CAnsiString& name),2,2,2,1,0,0,0,0,
E:\MyWork\Lynx System\Lynx Engine\Current\src\LynxEngine.cpp,CEngine::LoadSubSystem(const LYNXCHAR *name),33,30,15,5,2,0,1,3,
