Word,Count
\lynxSetPixelShaderConstantTableArray(lynxGetCurrentPixelShader(),\,10
\LYNX_TF_POINT,\,10
Hypotenuse,10
ResList.end();,10
needed,10
Copy,10
TN);,10
Res,10
\"\Use\,10
map,10
keys,10
Tangent,10
++Res),10
bbo),10
#else,10
m_Time,10
frustum,10
LYNX_REAL(255)));,10
code,10
\lynxSetVertexShaderConstantTableArray(lynxGetCurrentVertexShader(),\,10
\LYNX_READ_FILE(&NumKeys,\,10
read,10
Draw,10
1.0f,10
5.0f;,10
point,9
Initialize,9
Vertex,9
m_ESun,9
W,9
into,9
LYNX_FALSE);,9
number,9
LYNX_DB_C;,9
lpDObj,9
//Technique->GetPass(0).m_TextureAnimationArray[1]->CreateSamplerState(SamDesc);,9
row,9
Normal,9
\%d"\,\,9
down,9
Output,9
LYNX_CA_CURRENT;,9
CEntity(this);,9
m_lpMaterials[i]->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::POINT_LIGHTING);,9
index),9
application,9
26);,9
p=0;,9
Count:,9
1),9
//Technique->GetPass(0).m_TextureAnimationArray[2]->CreateSamplerState(SamDesc);,9
rendered,9
NumIndices,9
lpModel,9
\lynxSetTextureFilterMode(MaterialSystem::CTechnique::SHADOWMAP_CHANNEL,\,9
//Technique->GetPass(0).m_TextureAnimationArray[3]->CreateSamplerState(SamDesc);,9
\26.0f,\,9
//Technique->GetPass(0).m_TextureAnimationArray[0]->CreateSamplerState(SamDesc);,9
\m_SystemFont.LoadVar("\SysFont2.tga"\,\,9
an,9
\10+4*5,\,9
WORD,9
\Tech->GetPass(0).vLoadShaders(_T("\common/LynxScreenQuad.vso"\),\,8
relationships,8
\LYNX_CF_SELECT_ARG0,\,8
Perform,8
LYNX_DB_CW;,8
node,8
perfect,8
main,8
only,8
LYNX_TF_NULL);,8
Split,8
first,8
m,8
\lynxSetTextureBlend(1,\,8
Pos.s.x,8
p<Technique.GetNumPass();,8
LYNX_NULL_TEXTURE;,8
camera,8
0),8
Translate,8
coord..,8
object¡C,8
(m_Time,8
\(*Res)->GetName().c_str(),\,8
-m_Width*0.5f;,8
scene,8
PhysicsDLL[],8
view,8
++p),8
\LYNX_BOF_STATIC|LYNX_BOF_WRITEONLY,\,8
data,8
-m_Height*0.5f;,8
our,8
<in>The,8
just,8
m_ResultTexIndex,8
hand,8
Pos;,8
coords,8
flag,8
side,8
Size,8
temp,8
input,8
\8,\,8
matrix,8
(i-50)*5;,8
LYNXMATRIX,8
up,8
m_lpMeshArray[i]->m_Primitives[CurrentLOD][j].Type,8
right,8
length,8
CS3DCDesc.m_FileName,8
Pos.s.y,8
Called,8
need,8
LYNXVERTEXSLOT,8
Scale,8
Pos.s.z,8
m_lpMeshArray[i]->m_Primitives[CurrentLOD][j].NumPrimitives,8
(*Res).GetCount());,8
two,8
\lynxSetTextureBlend(0,\,8
Technique.GetPass(p).Set();,8
\sizeof(LYNXVECTOR3D),\,8
\lynxSetTextureFilterMode(0,\,8
Num,8
m_LightArray[0]->m_Color.Green,7
COLOR0,7
will,7
\*name,\,7
tree,7
\name,\,7
so,7
unsigned,7
m_Width,7
m_LightArray[0]->m_Color.Red,7
here,7
\LYNX_READ_FILE(&ST,\,7
correctly,7
++i),7
MaterialSystem::CTechnique&,7
counter,7
MaterialSystem::CTechnique*,7
Check,7
LYNX_CF_MODULATE;,7
\NumValues,\,7
\(LYNX_FOT_READ|LYNX_FOT_BINARY),\,7
LYNX_TF_POINT);,7
\lpMat->SetTechnique(MaterialSystem::CMaterial::SIMPLE,\,7
LYNX_TF_LINEAR);,7
CS3DCDesc.m_bUseBufferObject,7
Rotation,7
CDynamicObj*,7
bar,7
(j=0;,7
\{0,\,7
\"\gWorldViewProj"\,\,7
Technique;,7
\&m_M,\,7
\(!LYNX_OPEN_FILE(lpFile,\,7
LYNX_CLOSE_FILE(lpFile);,7
0..1),7
NumValues);,7
Load,7
(note,7
Triangle,7
chunk,7
default:,7
m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->GetPosition(&Pos);,7
H,7
Color,7
vectors,7
m_Height,7
m_LightArray[0]->m_Color.Blue,7
\LYNX_READ_FILE(&BoneIndex,\,7
entire,7
lpModel->m_AnimationSet.GetCurrentAnimation()->SetPlayMode(PM_LOOP);,7
CS3DCDesc.m_ClusterSize,7
TU.s.y,7
SetCurrentMaterialTechnique(MaterialSystem::CMaterial::SIMPLE);,7
clamped,7
TU.s.x,7
have,7
do,7
Dest,7
load,7
255);,7
TV.s.z,7
\LYNX_READ_FILE(KeyValues,\,7
TU.s.z,7
\LYNX_READ_FILE(&ET,\,7
MaterialSystem::CPass(&(lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)0))));,7
file,7
diffuse,7
-1),7
projective,7
distance,7
at,7
too,7
TV.s.y,7
TV.s.x,7
\i,\,7
offset);,7
SetlpCurrentMaterial(lpMat);,7
Field,6
\Color,\,6
lpfog2->Start);,6
Rendering,6
rendering,6
material,6
////,6
\glpLogger->vLog(CString(GetClassName())+CString(_T("\::Destroy\,6
lpValues[0];,6
WireframeColor[0],6
World,6
glColor3f(,6
TitleColor,6
was,6
\(lpp->y),\,6
Binary,6
\30,\,6
//glDisable(GL_TEXTURE_GEN_S);,6
zero,6
mouse,6
20};,6
(SystemData.CPUInfo.Feature,6
shaders,6
LYNX_LOCK_TO_WRITE);,6
eye,6
LPLYNXFOGDATA,6
\cluster_size,\,6
SystemData.CPUInfo.OSSupport,6
//glDisable(GL_TEXTURE_2D);,6
Clear,6
-(out[0]*0.57f-out[1]*0.57f+out[2]*0.57f);,6
__FIXED_POINT__,6
both,6
if(,6
A,6
WireframeColor[1],6
m_LightArray[0]->m_Deg,6
\&TitleColor,\,6
WireframeColor[2],6
\lpModel->m_AnimationSet.GetCurrentAnimation()->SetRange(0.0f,\,6
lynxStrLen(lpExt),6
animation,6
Height,6
Rect.y1,6
m_lpGraphicsSystem->GetSystemBackBuffer()->vGetWidth();,6
Set,6
((*Res)->GetResourceType(),6
GraphicsSystem::CShadowMap::VSM,6
Z,6
find,6
1.0f),6
\(lpp->x),\,6
short,6
\split,\,6
\0.f,\,6
loading,6
Technique->SetType(MaterialSystem::CTechnique::LIGHTING);,6
3;,6
[],6
Mid,6
-------------------------------------------------------------------------------------------------------v,6
\255},\,6
b,6
lpValues[1]);,6
this;,6
(m_Name,6
<=,6
m_LightArray[0]->m_Radius,6
m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->m_DepthScale);,6
&MS;,6
30.0f;,6
lpValues[0]);,6
lpElem;,6
2);,6
CModelContainer*,6
\m_lpSceneSystem->GetlpEngine()->GetlpPhysicsSystem()->GetlpPhysicsWorld(0)->GetlpSpace(0)->vCreateGeometry(LynxEngine::PhysicsSystem::CPhysicsGeometry::PLANE,\,6
lpValue,6
LightType,6
View,6
Rect.y2,6
lpValues[2]);,6
per,6
index,6
(lpp->z));,6
\"\gDepthScale"\,\,6
Technique->SetType(MaterialSystem::CTechnique::SHADOWMAPPING);,6
\LYNX_READ_FILE(Name,\,6
ResList,6
\lynxSetVertexShaderConstantTable(lynxGetCurrentVertexShader(),\,6
\<CurrentLightingPassTarget>,\,6
0.2f;,6
Rect.x2,6
sizeof(unsigned,6
ShadowColor,6
\lynxSetTextureAddressMode(channel,\,6
LYNXCHAR*,6
0.0f);,6
2),6
base,6
Name.c_str());,6
\&m_R,\,6
C,6
transformation,6
i*4+1;,6
\//glPolygonMode(GL_FRONT,\,6
\lynxSetVertexShaderConstantTable(1,\,6
Offset;,6
Allocate,6
Res;,6
out,6
return;,6
60.0f;,6
Technique->SetType(MaterialSystem::CTechnique::ZPASSING);,6
WireframeColor[3],6
Rect;,6
\sizeof(LYNXREAL)*1,\,6
NumKeys;,6
lpModel->m_AnimationSet.GetCurrentAnimation()->SetStep(1.0f);,6
GraphicsSystem::CShadowMap::NUM_SHADOWFILTER_TYPES),6
Everything's,6
i*4+2;,6
system,6
Rect.x1,6
info,6
Data);,6
(k=0;,6
Tessellate,6
//glDisable(GL_TEXTURE_GEN_T);,6
Initialises,6
CList<CResourcePtr>&,6
lpfog1->Start);,6
0.2f),6
visibility,6
m_lpGraphicsSystem->GetSystemBackBuffer()->vGetHeight();,6
vCreateMaterial();,6
(!lpf),6
CList<CResourcePtr>::CIterator,6
VERTEX,6
LYNXRECT,6
GL_FILL);,6
Store,6
m_lpMeshArray[i]->m_Primitives[CurrentLOD][j].lpIndex,6
\"\gLightPos"\,\,6
ResList.begin();,6
Len,5
dv.s.y,5
Size[0],5
/*if,5
LynxEngine::PhysicsSystem::CPhysicsGeometry*,5
Deg,5
\"\%s,\,5
\lynxSetTextureBlend(MaterialSystem::CTechnique::SHADOWMAP_CHANNEL,\,5
\lynxMatrixXMatrix(&WVPM,\,5
m_lpSV[1].x,5
\LYNX_VSF_UBYTE,\,5
\lpC->SetSize(i,\,5
\25+(i++)*15,\,5
dn);,5
\LYNX_CA_CURRENT,\,5
f,5
Size[3];,5
Data[1],5
extra,5
m_ShadowFilterType,5
dv.s.z,5
rand()%360;,5
m_lpMaterials[i]->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE);,5
lpC->Unlock();,5
\lpDObj->vCreate("\Sprite3D"\,\,5
Fill,5
\5,\,5
\&TV,\,5
\lynxMatrixXMatrix(&WVM,\,5
bRet,5
lpModel;,5
CS3DCDesc.m_NumSegY,5
LOD++),5
actual,5
m_ParamArray.clear();,5
Name);,5
functions,5
LYNX_SEEK_SET);,5
Data,5
\f,\,5
creation,5
m_lpSV,5
Offset,5
\LYNX_DOT_PRODUCT(dv,\,5
lpV,5
implementation,5
projection,5
(char,5
Name,5
CPEmitterContainer::PE_POINT;,5
\lynxNormalise(&TV,\,5
while,5
m_DynamicObjArray[0]->GetlpContainer()->m_bCastShadow,5
\lpC->SetPosition(i,\,5
(!lpMat),5
lpPhxGeo,5
\Data(%d)-----------------------------------------------------------------------"\,\,5
\lynxNormalise(&dv,\,5
make,5
(ContainerName,5
(float,5
lpPhxObj;,5
CS3DCDesc.m_NumSegX,5
values,5
\Size,\,5
plane,5
m_lpSV[3].x,5
&m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->m_LightViewProj);,5
(WORD,5
(m_LightArray[0],5
Data[2],5
&WPM);,5
\LYNX_MATRIX(m_LocalM,\,5
\&WVM,\,5
value,5
lpC->Lock();,5
}*/,5
m_lpSV[2].y,5
m_lpSV[1].y,5
Data[3],5
&m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->GetCamera().GetViewMatrix());,5
m_lpSV[3].y,5
create,5
10.0f;,5
Data[0],5
\lynxCrossProduct(&TU,\,5
LynxEngine::PhysicsSystem::CPhysicsObj*,5
m_lpSV[0].y,5
LYNXEXPORT,5
lpPhxGeo;,5
cam->GetPosition(&Pos);,5
(,5
LOD<m_NumLODs;,5
way,5
Get,5
rotation,5
(cam->IsMirror()),5
patches,5
must,5
Num);,5
LYNX_Z_AXIS);,5
Size[2],5
rand()%400;,5
\{SetMapAsRenderBuffer(index,\,5
i<m_lpBoneArray.size();,5
(*Con)->vRender(&camera);,5
lpPhxObj->vAddPhyGeo(lpPhxGeo);,5
\LYNX_CF_MODULATE,\,5
Base,5
&TN);,5
LOD=0;,5
now,5
together,5
lpI,5
m_lpSV[0].x,5
lpC->SetLockedAxis(LYNX_X_AXIS,5
\LYNX_VST_COLOR,\,5
\LYNX_BOF_DYNAMIC|LYNX_BOF_WRITEONLY,\,5
\dv,\,5
Dist,5
m_lpSV[2].x,5
dv.s.x,5
(GraphicsSystem::SPRITEVERTEX*)m_VertexArray.lpBuffer;,5
0)),5
sources,5
LYNX_GraphicsSystem::CRenderer::LOCK_TO_WRITE);,5
\lynxNormalise(&TN,\,5
ContainerType,5
NULL);,5
process,5
Size[1],5
\length,\,5
lpPhxObj,5
delete,5
then,5
constructor,5
lpC,5
get,5
(time,5
objects,5
m_LightArray[0]);,5
lynxSetHardwareCullMode(LYNX_CULL_CW);,5
((SceneSystem::CSky*)m_lpRenObj)->GetSunLight()->GetlpContainer()->UpdateTransform();,4
\"\gWorldLightView"\,\,4
\{28,\,4
\lpv[lpf[m_BaseTriangle+i].lpv[2]],\,4
8.0f);,4
m_Str,4
BUFFER),4
Num;,4
m_lpBoneArray[i]->m_lpParent,4
(LynxEngine::CGameObj::*)(int))&LynxEngine::CGameObj::SetID);,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::ZPASS),4
planes,4
MessageBeep(MB_ICONEXCLAMATION);,4
short[m_lpMeshArray[i]->m_Primitives[CurrentLOD][j].NumIndex];,4
\lynxSetVertexArray(&m_VertexArray,\,4
\_T("\builtin/scn/model_shadowmap.pso"\));\,4
landscape,4
unit,4
std::string,4
\"\gCameraPos"\,\,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::POINT_LIGHTING),4
MB_OK,4
i<m_ClusterSize;,4
field,4
ROAM,4
\lpo,\,4
OR,4
\ScriptSystem::CScriptFunc<LynxEngine::CGameObj,\,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_TextureAnimationArray[0]->CombineArg[1],4
Color[1],4
2006/11/07,4
MB_ICONERROR);,4
link,4
&lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::ZPASS);,4
continue,4
(*lpElem));,4
\m_lpRenderer->SetTexture(0,\,4
m_lpSV[0].TexCoord.v,4
try,4
\32,\,4
textexture,4
\LYNX_READ_FILE(MName,\,4
faster,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).vCreatePass(1);,4
lpV;,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_TextureAnimationArray[0]->CombineArg[0],4
\sizeof(int)*1,\,4
triangles..,4
Illegal,4
\lpMat->SetTechnique(MaterialSystem::CMaterial::DIRECTIONAL_LIGHTING,\,4
handle,4
\SetName(CString(_T("\Error\,4
atoi(lpValue);,4
patch's,4
\{20,\,4
\WireframeColor,\,4
j<m_lpMeshArray[i]->m_Primitives[CurrentLOD].size();,4
\8.0f,\,4
m_lpMaterial,4
wxMenu,4
idle,4
use,4
Vertex*MAT,4
\LYNX_READ_FILE(&Keys,\,4
lpElem->Attribute(m_XMLTag.NumberAttr);,4
(CSprite3DClusterContainer*)(lpDObj->GetlpContainer());,4
\lpv[lpf[m_BaseTriangle+i].lpv[0]],\,4
&WVM);,4
\{24,\,4
Top,4
\_T("\builtin/scn/model_zpass.pso"\));\,4
adjust,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::DIRECTIONAL_LIGHTING),4
m_bGlow);,4
LYNX_ROTATE_KEY_ISCALE);,4
\ResList.begin(),\,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SPOT_LIGHTING),4
Landscape,4
&cam->GetProjectionMatrix());,4
Patch,4
D3DXVECTOR4,4
gHeightMaster,4
lpMat->vCreateTechnique(MaterialSystem::CMaterial::NUM_TECHTYPE);,4
metric,4
0x00;,4
NumValues;,4
m_lpSV[2].TexCoord.u,4
&CS3DCDesc);,4
-=,4
m_lpSV[3].Color.PackedColor,4
Do,4
points,4
draw,4
m_lpSV[3].TexCoord.u,4
\"\))+CString(filename));\,4
m_lpSV[1].Color.PackedColor,4
k;,4
j<m_lpMeshArray[i]->m_Primitives[LOD].size();,4
close,4
m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->m_Radius);,4
we're,4
Mesh,4
LYNX_ZIPFILE_STR)),4
\(LynxEngine::CGameObj*)0,\,4
\j,\,4
\lynxSetTextureBlend(MaterialSystem::CTechnique::SHADOWMAP_CHANNEL+1,\,4
many,4
m_lpEngine->GetlpGraphicsSystem()->GetlpRenderer()->SetTexturePath(CurrentPath);,4
¿ù»~­È¬°LYNX_OK¥NªíµL¿ù»~,4
\(LynxEngine::SceneSystem::CLight*)0,\,4
\Math::CVector3(lynxCos(Deg)*Dist,\,4
2;,4
\Size*0.5f,\,4
&lpso->VisKey);,4
(lpElem),4
__TOOL__,4
\*filename,\,4
m_BloomingIntensity);,4
m_Base,4
\0.5f,\,4
m_lpCurrentGlowMap);,4
Left,4
HIE_MODEL:,4
\LynxEngine::GetEnumStr((*Res)->GetResourceType()).c_str(),\,4
rand()%30+55;,4
-1.0f);,4
well,4
m_lpCurrentMaterial->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)(MaterialSystem::CMaterial::TECHTYPE)m_CurrentMaterialTechnique);,4
can't,4
%s,4
\"\gZBias"\,\,4
\_T("\scn/sprite3d_zpass.pso"\));\,4
container,4
2.5f;,4
1,4
\"\gLight.Color"\,\,4
&m_LocalM);,4
HIE_BONESKIN_MODEL:,4
wxMenu;,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_TextureAnimationArray[0]->AddressMode,4
parameters,4
m_lpSV[0].Color.PackedColor,4
Mid;,4
m_lpSV[3].TexCoord.v,4
NumIndices;,4
Matrix,4
\lpMat->SetTechnique(MaterialSystem::CMaterial::SPOT_LIGHTING,\,4
m_DynamicObjArray[0]->GetlpContainer())->GetlpMesh(0));,4
0.f,4
400;,4
m_lpMaps[OFFSCREEN]->GetTexture());,4
LYNXVECTOR3D[m_NumVertices[CurrentLOD]];,4
given,4
m_lpSV[2].TexCoord.v,4
m_lpSV[0].TexCoord.u,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_CullMode,4
Rad);,4
Right,4
m_lpSV[1].TexCoord.u,4
&WVPM);,4
&lpso->RotateKey);,4
entry,4
Color[0],4
m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->m_Color.Blue/255.0f;,4
\lynxMemCpy(&m_LocalM,\,4
ZBias);,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_DepthBufferMode,4
\lpMat->SetTechnique(MaterialSystem::CMaterial::SHADOWMAP,\,4
lynxSin(Deg)*Dist));,4
\"\gWorldLightViewProj"\,\,4
\"\gbShadowing"\,\,4
Token,4
(TypeName,4
m_lpRenObj->m_bReceiveShadow);,4
The,4
\%s,\,4
Attach,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_TextureAnimationArray[0]->CombineArg[2],4
\-1.0f,\,4
Y,4
HP,4
\lpMat->SetTechnique(MaterialSystem::CMaterial::ZPASS,\,4
91;,4
\"\gBloomingIntensity"\,\,4
m_lpSV[1].TexCoord.v,4
m_lpMeshArray[i]->m_Primitives[CurrentLOD][j].NumIndex-2;,4
&Color2);,4
modes,4
Will,4
2.0f);,4
\TU,\,4
Type:,4
start,4
Calculate,4
LYNX_NORMAL_TEXTURE);,4
\lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).SetPass(0,\,4
m_lpSV[2].Color.PackedColor,4
Sprite,4
i<400;,4
m_SourceType,4
Group,4
m_DynamicObjArray[0]->GetlpContainer());,4
m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()->m_Color.Red/255.0f;,4
\LYNX_READ_FILE(&NumValues,\,4
*))&LynxEngine::CGameObj::SetName));,4
(m_lpCurrentMaterial->GetlpMaterialSystem()->GetlpCurrentLight()),4
\lynxFromAnsiStr(TName,\,4
\7,\,4
Color2.Blue,4
173;,4
Num++;,4
glpGameSystem->MouseData.bRightButtonDown,4
LPLYNXFAN,4
\m_lpGraphicsSystem->SetMapAsRenderBuffer(1,\,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SHADOWMAP),4
world,4
\lpv,\,4
\LYNX_RV_SET_UV(m_lpVertexArray[k],\,4
m_DynamicObjArray[1]->GetlpContainer()->m_bCastShadow,4
\lynxMemCpy(values,\,4
Bottom),4
-1;,4
lpC->SetRenderedSize(400);,4
lpDObj->SetPosition(&Pos);,4
lpElem->Attribute(m_XMLTag.NameAttr);,4
glpGameSystem->MouseData.bLeftButtonDown,4
lynxMapBlendFunc(BlendFuncIndex);,4
\_T("\common/lynxDiffuseMapXColor.pso"\));\,4
lpTMat,4
m_DynamicObjArray[0]),4
\LynxScript::Lua::CScriptFunc<LynxEngine::CGameObj,\,4
shadow,4
m_lpMeshArray[i]->m_Primitives[CurrentLOD][j].NumIndex/3;,4
bordering,4
lpModel->SetSelfIlluminated(LYNX_TRUE);,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).vSetNumTextureAnimation(1);,4
check,4
&m_Materials[m_lpMeshArray[i]->m_MaterialIndex]);,4
\lpMat->SetTechnique(MaterialSystem::CMaterial::AMBIENT_LIGHTING,\,4
\"\\\/"\);\,4
three,4
i<m_StaticObjArray.size();,4
&cam->GetViewMatrix());,4
Color2.Red,4
rows,4
(m_ModelType),4
\_("\Go\,4
##########################################################################,4
lpMat->GetTechnique((MaterialSystem::CMaterial::TECHTYPE)MaterialSystem::CMaterial::SIMPLE).GetPass(0).m_TextureAnimationArray[0]->CombineFunc,4
<m_lpCurrentGlowMap>,4
COM,4
Bone,4
coord,4
\"\gLight.Radius"\,\,4
